,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L
469,ICICIPRULI,2022-07-29 10:00:00,2022-07-29 15:00:00,555.15,550.0,2022-07-29 10:00:00,2022-07-29 15:00:00,550.0,551.65,550.0,551.65,DayEnd,upper,555.15,-1.6499999999999773
470,SBILIFE,2022-07-29 10:00:00,2022-07-29 10:45:00,1298.8,1288.05,2022-07-29 10:00:00,2022-07-29 10:45:00,1288.05,1298.8,1288.05,1298.8,StopLoss,upper,1298.8,-10.75
471,CIPLA,2022-08-01 09:45:00,2022-08-01 15:00:00,1013.55,1000.25,2022-08-01 09:45:00,2022-08-01 15:00:00,1000.25,1003.45,1000.25,1003.45,DayEnd,upper,1013.55,-3.2000000000000455
472,NATCOPHARM,2022-08-01 10:00:00,2022-08-01 14:30:00,707.0,700.05,2022-08-01 10:00:00,2022-08-01 14:30:00,700.05,707.0,700.05,707.0,StopLoss,upper,707.0,-6.9500000000000455
474,PEL,2022-08-01 15:00:00,2022-08-01 09:45:00,1754.9,1741.7,2022-08-01 09:45:00,2022-08-01 15:00:00,1754.9,1748.45,1748.45,1754.9,DayEnd,lower,1741.7,-6.4500000000000455
475,NAM-INDIA,2022-08-02 09:45:00,2022-08-02 15:00:00,292.0,288.7,2022-08-02 09:45:00,2022-08-02 15:00:00,288.7,286.9,288.7,286.9,DayEnd,upper,292.0,1.8000000000000114
477,HINDPETRO,2022-08-02 10:00:00,2022-08-02 15:00:00,246.3,244.8,2022-08-02 10:00:00,2022-08-02 15:00:00,244.8,246.3,244.8,246.3,StopLoss,upper,246.3,-1.5
478,NATCOPHARM,2022-08-02 10:15:00,2022-08-02 10:45:00,724.45,721.6,2022-08-02 10:15:00,2022-08-02 10:45:00,721.6,724.45,721.6,724.45,StopLoss,upper,724.45,-2.8500000000000227
480,SIEMENS,2022-08-03 15:00:00,2022-08-03 09:45:00,2654.9,2583.45,2022-08-03 09:45:00,2022-08-03 15:00:00,2654.9,2618.0,2618.0,2654.9,DayEnd,lower,2583.45,-36.90000000000009
481,VOLTAS,2022-08-03 10:15:00,2022-08-03 10:00:00,972.0,967.6,2022-08-03 10:00:00,2022-08-03 10:15:00,972.0,967.6,967.6,972.0,StopLoss,lower,967.6,-4.399999999999977
482,INDIAMART,2022-08-04 11:00:00,2022-08-04 15:00:00,4567.85,4521.0,2022-08-04 11:00:00,2022-08-04 15:00:00,4521.0,4475.0,4521.0,4475.0,DayEnd,upper,4567.85,46.0
483,PIIND,2022-08-04 09:45:00,2022-08-04 10:45:00,3151.0,3082.6,2022-08-04 09:45:00,2022-08-04 10:45:00,3082.6,3151.0,3082.6,3151.0,StopLoss,upper,3151.0,-68.40000000000009
484,HINDALCO,2022-08-04 10:00:00,2022-08-04 15:00:00,430.15,426.75,2022-08-04 10:00:00,2022-08-04 15:00:00,426.75,420.55,426.75,420.55,DayEnd,upper,430.15,6.199999999999989
486,CROMPTON,2022-08-05 14:15:00,2022-08-05 09:45:00,377.75,375.05,2022-08-05 09:45:00,2022-08-05 14:15:00,377.75,375.05,375.05,377.75,StopLoss,lower,375.05,-2.6999999999999886
487,MUTHOOTFIN,2022-08-05 10:00:00,2022-08-05 11:30:00,1145.7,1135.0,2022-08-05 10:00:00,2022-08-05 11:30:00,1135.0,1145.7,1135.0,1145.7,StopLoss,upper,1145.7,-10.700000000000045
489,SANOFI,2022-08-05 15:00:00,2022-08-05 10:00:00,6445.0,6425.05,2022-08-05 10:00:00,2022-08-05 15:00:00,6445.0,6519.1,6519.1,6445.0,DayEnd,lower,6425.05,74.10000000000036
490,APLLTD,2022-08-05 10:45:00,2022-08-05 10:00:00,680.6,675.1,2022-08-05 10:00:00,2022-08-05 10:45:00,680.6,675.1,675.1,680.6,StopLoss,lower,675.1,-5.5
491,SBIN,2022-08-08 10:00:00,2022-08-08 09:45:00,519.1,517.0,2022-08-08 09:45:00,2022-08-08 10:00:00,519.1,517.0,517.0,519.1,StopLoss,lower,517.0,-2.1000000000000227
492,ESCORTS,2022-08-10 11:30:00,2022-08-10 12:00:00,1711.95,1705.0,2022-08-10 11:30:00,2022-08-10 12:00:00,1705.0,1711.95,1705.0,1711.95,StopLoss,upper,1711.95,-6.9500000000000455
495,TATACHEM,2022-08-10 10:15:00,2022-08-10 11:00:00,1044.0,1035.5,2022-08-10 10:15:00,2022-08-10 11:00:00,1035.5,1044.0,1035.5,1044.0,StopLoss,upper,1044.0,-8.5
496,YESBANK,2022-08-10 15:00:00,2022-08-10 10:00:00,15.55,15.25,2022-08-10 10:00:00,2022-08-10 15:00:00,15.55,15.45,15.45,15.55,DayEnd,lower,15.25,-0.10000000000000142
497,GODREJIND,2022-08-11 10:00:00,2022-08-11 11:00:00,462.9,461.0,2022-08-11 10:00:00,2022-08-11 11:00:00,461.0,462.9,461.0,462.9,StopLoss,upper,462.9,-1.8999999999999773
498,IGL,2022-08-11 10:15:00,2022-08-11 11:45:00,399.55,397.2,2022-08-11 10:15:00,2022-08-11 11:45:00,397.2,399.55,397.2,399.55,StopLoss,upper,399.55,-2.3500000000000227
499,GUJGASLTD,2022-08-11 09:45:00,2022-08-11 15:00:00,472.75,468.0,2022-08-11 09:45:00,2022-08-11 15:00:00,468.0,464.0,468.0,464.0,DayEnd,upper,472.75,4.0
500,INDIANB,2022-08-11 10:30:00,2022-08-11 15:00:00,186.2,185.0,2022-08-11 10:30:00,2022-08-11 15:00:00,185.0,182.7,185.0,182.7,DayEnd,upper,186.2,2.3000000000000114
501,PRESTIGE,2022-08-12 10:00:00,2022-08-12 15:00:00,474.0,467.35,2022-08-12 10:00:00,2022-08-12 15:00:00,467.35,464.7,467.35,464.7,DayEnd,upper,474.0,2.650000000000034
502,IPCALAB,2022-08-12 10:30:00,2022-08-12 10:00:00,933.25,928.0,2022-08-12 10:00:00,2022-08-12 10:30:00,933.25,928.0,928.0,933.25,StopLoss,lower,928.0,-5.25
503,DHANI,2022-08-12 10:15:00,2022-08-12 10:45:00,48.4,48.2,2022-08-12 10:15:00,2022-08-12 10:45:00,48.2,48.4,48.2,48.4,StopLoss,upper,48.4,-0.19999999999999574
504,APOLLOHOSP,2022-08-12 11:15:00,2022-08-12 10:15:00,4333.2,4301.0,2022-08-12 10:15:00,2022-08-12 11:15:00,4333.2,4301.0,4301.0,4333.2,StopLoss,lower,4301.0,-32.19999999999982
506,ADANIENT,2022-08-16 10:00:00,2022-08-16 15:00:00,2979.35,2927.0,2022-08-16 10:00:00,2022-08-16 15:00:00,2927.0,2963.3,2927.0,2963.3,DayEnd,upper,2979.35,-36.30000000000018
507,TRENT,2022-08-16 10:00:00,2022-08-16 15:00:00,1454.35,1436.1,2022-08-16 10:00:00,2022-08-16 15:00:00,1436.1,1408.6,1436.1,1408.6,DayEnd,upper,1454.35,27.5
508,VBL,2022-08-16 10:00:00,2022-08-16 15:00:00,1082.0,1070.65,2022-08-16 10:00:00,2022-08-16 15:00:00,1070.65,1036.6,1070.65,1036.6,DayEnd,upper,1082.0,34.05000000000018
509,GODREJCP,2022-08-16 10:00:00,2022-08-16 15:00:00,926.95,918.05,2022-08-16 10:00:00,2022-08-16 15:00:00,918.05,890.45,918.05,890.45,DayEnd,upper,926.95,27.59999999999991
510,MUTHOOTFIN,2022-08-16 15:00:00,2022-08-16 10:15:00,1043.6,1026.55,2022-08-16 10:15:00,2022-08-16 15:00:00,1043.6,1039.8,1039.8,1043.6,DayEnd,lower,1026.55,-3.7999999999999545
511,HINDCOPPER,2022-08-17 09:45:00,2022-08-17 15:00:00,117.3,116.05,2022-08-17 09:45:00,2022-08-17 15:00:00,116.05,115.3,116.05,115.3,DayEnd,upper,117.3,0.75
513,NTPC,2022-08-17 10:15:00,2022-08-17 15:00:00,163.5,162.15,2022-08-17 10:15:00,2022-08-17 15:00:00,162.15,161.5,162.15,161.5,DayEnd,upper,163.5,0.6500000000000057
515,SBICARD,2022-08-17 10:15:00,2022-08-17 15:00:00,1018.25,1013.5,2022-08-17 10:15:00,2022-08-17 15:00:00,1013.5,1003.0,1013.5,1003.0,DayEnd,upper,1018.25,10.5
516,BAJAJHLDNG,2022-08-18 10:15:00,2022-08-18 15:00:00,5649.5,5622.5,2022-08-18 10:15:00,2022-08-18 15:00:00,5622.5,5592.0,5622.5,5592.0,DayEnd,upper,5649.5,30.5
517,SONACOMS,2022-08-18 14:00:00,2022-08-18 09:45:00,521.9,515.55,2022-08-18 09:45:00,2022-08-18 14:00:00,521.9,515.55,515.55,521.9,StopLoss,lower,515.55,-6.350000000000023
518,ONGC,2022-08-18 10:15:00,2022-08-18 10:00:00,136.8,136.3,2022-08-18 10:00:00,2022-08-18 10:15:00,136.8,136.3,136.3,136.8,StopLoss,lower,136.3,-0.5
