,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L,net p&l,funds
49,PRESTIGE,2022-01-18 09:45:00,2022-01-18 15:00:00,544.7,538.05,2022-01-18 09:45:00,2022-01-18 15:00:00,538.05,524.55,538.05,524.55,DayEnd,upper,544.7,13.5,1012.5,100807.08
50,LTIM,2022-01-19 10:00:00,2022-01-19 09:45:00,6669.75,6605.0,2022-01-19 09:45:00,2022-01-19 10:00:00,6669.75,6605.0,6605.0,6669.75,StopLoss,lower,6605.0,-64.75,-453.25,103558.90000000001
51,IDEA,2022-01-19 15:00:00,2022-01-19 09:45:00,11.7,11.6,2022-01-19 09:45:00,2022-01-19 15:00:00,11.7,11.95,11.95,11.7,DayEnd,lower,11.6,0.25,1294.25,103558.90000000001
52,CUMMINSIND,2022-01-19 10:00:00,2022-01-19 09:45:00,963.0,956.35,2022-01-19 09:45:00,2022-01-19 10:00:00,963.0,956.35,956.35,963.0,StopLoss,lower,956.35,-6.649999999999977,-512.0499999999982,103558.90000000001
53,ISEC,2022-01-19 10:00:00,2022-01-19 09:45:00,792.8,788.45,2022-01-19 09:45:00,2022-01-19 10:00:00,792.8,788.45,788.45,792.8,StopLoss,lower,788.45,-4.349999999999909,-517.6499999999892,103558.90000000001
54,LALPATHLAB,2022-01-19 10:15:00,2022-01-19 09:45:00,3299.8,3256.0,2022-01-19 09:45:00,2022-01-19 10:15:00,3299.8,3256.0,3256.0,3299.8,StopLoss,lower,3256.0,-43.80000000000018,-481.800000000002,103558.90000000001
55,COALINDIA,2022-01-20 09:45:00,2022-01-20 12:00:00,167.5,165.5,2022-01-20 09:45:00,2022-01-20 12:00:00,165.5,167.5,165.5,167.5,StopLoss,upper,167.5,-2.0,-514.0,102888.40000000002
56,TATACONSUM,2022-01-20 09:45:00,2022-01-20 15:00:00,742.0,733.65,2022-01-20 09:45:00,2022-01-20 15:00:00,733.65,725.0,733.65,725.0,DayEnd,upper,742.0,8.649999999999977,527.6499999999986,102888.40000000002
57,SYNGENE,2022-01-20 09:45:00,2022-01-20 15:00:00,628.25,616.0,2022-01-20 09:45:00,2022-01-20 15:00:00,616.0,609.05,616.0,609.05,DayEnd,upper,628.25,6.9500000000000455,284.95000000000186,102888.40000000002
58,TATACOMM,2022-01-20 10:30:00,2022-01-20 09:45:00,1489.2,1466.0,2022-01-20 09:45:00,2022-01-20 10:30:00,1489.2,1466.0,1466.0,1489.2,StopLoss,lower,1466.0,-23.200000000000045,-510.400000000001,102888.40000000002
59,TATAELXSI,2022-01-20 10:00:00,2022-01-20 12:15:00,7432.75,7268.05,2022-01-20 10:00:00,2022-01-20 12:15:00,7268.05,7432.75,7268.05,7432.75,StopLoss,upper,7432.75,-164.69999999999982,-494.09999999999945,102888.40000000002
60,TATAELXSI,2022-01-21 09:45:00,2022-01-21 15:00:00,7773.65,7694.65,2022-01-21 09:45:00,2022-01-21 15:00:00,7694.65,7310.05,7694.65,7310.05,DayEnd,upper,7773.65,384.59999999999945,2307.5999999999967,102182.50000000003
61,DRREDDY,2022-01-21 15:00:00,2022-01-21 09:45:00,4496.3,4462.3,2022-01-21 09:45:00,2022-01-21 15:00:00,4496.3,4469.45,4469.45,4496.3,DayEnd,lower,4462.3,-26.850000000000364,-402.75000000000546,102182.50000000003
62,VOLTAS,2022-01-21 11:00:00,2022-01-21 09:45:00,1231.2,1217.2,2022-01-21 09:45:00,2022-01-21 11:00:00,1231.2,1217.2,1217.2,1231.2,StopLoss,lower,1217.2,-14.0,-504.0,102182.50000000003
63,CROMPTON,2022-01-21 10:15:00,2022-01-21 09:45:00,425.3,423.05,2022-01-21 09:45:00,2022-01-21 10:15:00,425.3,423.05,423.05,425.3,StopLoss,lower,423.05,-2.25,-510.75,102182.50000000003
64,DIVISLAB,2022-01-21 10:15:00,2022-01-21 09:45:00,4250.0,4226.05,2022-01-21 09:45:00,2022-01-21 10:15:00,4250.0,4226.05,4226.05,4250.0,StopLoss,lower,4226.05,-23.949999999999818,-502.9499999999962,102182.50000000003
65,RAMCOCEM,2022-01-24 14:00:00,2022-01-24 09:45:00,909.0,892.25,2022-01-24 09:45:00,2022-01-24 14:00:00,909.0,892.25,892.25,909.0,StopLoss,lower,892.25,-16.75,-502.5,102569.65000000002
66,NATIONALUM,2022-01-24 10:00:00,2022-01-24 09:45:00,104.25,103.1,2022-01-24 09:45:00,2022-01-24 10:00:00,104.25,103.1,103.1,104.25,StopLoss,lower,103.1,-1.1500000000000057,-511.7500000000025,102569.65000000002
67,HINDCOPPER,2022-01-24 10:00:00,2022-01-24 09:45:00,126.15,124.95,2022-01-24 09:45:00,2022-01-24 10:00:00,126.15,124.95,124.95,126.15,StopLoss,lower,124.95,-1.2000000000000028,-512.4000000000012,102569.65000000002
68,DMART,2022-01-24 10:00:00,2022-01-24 09:45:00,4182.15,4135.1,2022-01-24 09:45:00,2022-01-24 10:00:00,4182.15,4135.1,4135.1,4182.15,StopLoss,lower,4135.1,-47.04999999999927,-470.4999999999927,102569.65000000002
69,ONGC,2022-01-24 10:00:00,2022-01-24 10:15:00,167.45,166.8,2022-01-24 10:00:00,2022-01-24 10:15:00,166.8,167.45,166.8,167.45,StopLoss,upper,167.45,-0.6499999999999773,-512.1999999999821,102569.65000000002
70,MUTHOOTFIN,2022-01-25 10:00:00,2022-01-25 15:00:00,1487.45,1473.0,2022-01-25 10:00:00,2022-01-25 15:00:00,1473.0,1460.65,1473.0,1460.65,DayEnd,upper,1487.45,12.349999999999909,419.8999999999969,100060.30000000005
71,MPHASIS,2022-01-25 10:00:00,2022-01-25 10:30:00,3037.5,2990.0,2022-01-25 10:00:00,2022-01-25 10:30:00,2990.0,3037.5,2990.0,3037.5,StopLoss,upper,3037.5,-47.5,-475.0,100060.30000000005
72,ASTRAL,2022-01-25 15:00:00,2022-01-25 09:45:00,2108.25,2078.15,2022-01-25 09:45:00,2022-01-25 15:00:00,2108.25,2115.75,2115.75,2108.25,DayEnd,lower,2078.15,7.5,120.0,100060.30000000005
73,MFSL,2022-01-27 10:00:00,2022-01-27 09:45:00,884.8,878.0,2022-01-27 09:45:00,2022-01-27 10:00:00,884.8,878.0,878.0,884.8,StopLoss,lower,878.0,-6.7999999999999545,-496.3999999999967,100125.20000000004
74,ONGC,2022-01-27 09:45:00,2022-01-27 15:00:00,168.3,167.35,2022-01-27 09:45:00,2022-01-27 15:00:00,167.35,165.55,167.35,165.55,DayEnd,upper,168.3,1.799999999999983,946.7999999999911,100125.20000000004
75,INDIGO,2022-01-27 10:00:00,2022-01-27 09:45:00,1871.8,1851.0,2022-01-27 09:45:00,2022-01-27 10:00:00,1871.8,1851.0,1851.0,1871.8,StopLoss,lower,1851.0,-20.799999999999955,-499.1999999999989,100125.20000000004
76,NAUKRI,2022-01-27 12:45:00,2022-01-27 09:45:00,4382.8,4303.55,2022-01-27 09:45:00,2022-01-27 12:45:00,4382.8,4303.55,4303.55,4382.8,StopLoss,lower,4303.55,-79.25,-475.5,100125.20000000004
77,HDFCAMC,2022-01-27 10:45:00,2022-01-27 09:45:00,2165.0,2140.05,2022-01-27 09:45:00,2022-01-27 10:45:00,2165.0,2140.05,2140.05,2165.0,StopLoss,lower,2140.05,-24.949999999999818,-498.99999999999636,100125.20000000004
78,COFORGE,2022-01-28 09:45:00,2022-01-28 10:15:00,4761.15,4640.15,2022-01-28 09:45:00,2022-01-28 10:15:00,4640.15,4761.15,4640.15,4761.15,StopLoss,upper,4761.15,-121.0,-484.0,99101.90000000004
79,M_M,2022-01-28 10:00:00,2022-01-28 15:00:00,895.65,888.5,2022-01-28 10:00:00,2022-01-28 15:00:00,888.5,869.25,888.5,869.25,DayEnd,upper,895.65,19.25,1328.25,99101.90000000004
80,ONGC,2022-01-28 10:15:00,2022-01-28 10:30:00,174.3,173.15,2022-01-28 10:15:00,2022-01-28 10:30:00,173.15,174.3,173.15,174.3,StopLoss,upper,174.3,-1.1500000000000057,-494.50000000000244,99101.90000000004
81,TATAELXSI,2022-01-28 10:15:00,2022-01-28 15:00:00,7375.0,7311.05,2022-01-28 10:15:00,2022-01-28 15:00:00,7311.05,7148.7,7311.05,7148.7,DayEnd,upper,7375.0,162.35000000000036,1136.4500000000025,99101.90000000004
82,LICHSGFIN,2022-01-28 10:15:00,2022-01-28 10:30:00,385.2,382.55,2022-01-28 10:15:00,2022-01-28 10:30:00,382.55,385.2,382.55,385.2,StopLoss,upper,385.2,-2.6499999999999773,-492.89999999999577,99101.90000000004
83,INDHOTEL,2022-01-31 09:45:00,2022-01-31 11:00:00,215.9,213.3,2022-01-31 09:45:00,2022-01-31 11:00:00,213.3,215.9,213.3,215.9,StopLoss,upper,215.9,-2.5999999999999943,-499.1999999999989,100095.20000000004
84,APOLLOHOSP,2022-01-31 15:00:00,2022-01-31 09:45:00,4447.85,4375.55,2022-01-31 09:45:00,2022-01-31 15:00:00,4447.85,4462.2,4462.2,4447.85,DayEnd,lower,4375.55,14.349999999999454,86.09999999999673,100095.20000000004
85,MARICO,2022-01-31 10:00:00,2022-01-31 15:00:00,490.0,488.35,2022-01-31 10:00:00,2022-01-31 15:00:00,488.35,485.3,488.35,485.3,DayEnd,upper,490.0,3.0500000000000114,924.1500000000035,100095.20000000004
86,UBL,2022-01-31 10:00:00,2022-01-31 10:30:00,1645.0,1637.3,2022-01-31 10:00:00,2022-01-31 10:30:00,1637.3,1645.0,1637.3,1645.0,StopLoss,upper,1645.0,-7.7000000000000455,-492.8000000000029,100095.20000000004
87,IRCTC,2022-01-31 10:15:00,2022-01-31 15:00:00,877.5,873.5,2022-01-31 10:15:00,2022-01-31 15:00:00,873.5,868.5,873.5,868.5,DayEnd,upper,877.5,5.0,625.0,100095.20000000004
88,AXISBANK,2022-02-01 10:00:00,2022-02-01 10:15:00,790.8,785.85,2022-02-01 10:00:00,2022-02-01 10:15:00,785.85,790.8,785.85,790.8,StopLoss,upper,790.8,-4.949999999999932,-499.9499999999931,100738.45000000004
89,ICICIBANK,2022-02-01 10:00:00,2022-02-01 11:00:00,811.8,810.15,2022-02-01 10:00:00,2022-02-01 11:00:00,810.15,811.8,810.15,811.8,StopLoss,upper,811.8,-1.6499999999999773,-503.24999999999307,100738.45000000004
90,PEL,2022-02-01 10:00:00,2022-02-01 15:00:00,2537.95,2498.0,2022-02-01 10:00:00,2022-02-01 15:00:00,2498.0,2514.0,2498.0,2514.0,DayEnd,upper,2537.95,-16.0,-192.0,100738.45000000004
91,INDUSINDBK,2022-02-01 10:15:00,2022-02-01 10:30:00,901.45,897.2,2022-02-01 10:15:00,2022-02-01 10:30:00,897.2,901.45,897.2,901.45,StopLoss,upper,901.45,-4.25,-501.5,100738.45000000004
92,OBEROIRLTY,2022-02-01 10:30:00,2022-02-01 12:45:00,956.5,952.4,2022-02-01 10:30:00,2022-02-01 12:45:00,952.4,956.5,952.4,956.5,StopLoss,upper,956.5,-4.100000000000023,-500.2000000000028,100738.45000000004
93,EICHERMOT,2022-02-02 09:45:00,2022-02-02 15:00:00,2719.0,2702.0,2022-02-02 09:45:00,2022-02-02 15:00:00,2702.0,2668.2,2702.0,2668.2,DayEnd,upper,2719.0,33.80000000000018,946.4000000000051,98541.55000000005
94,TECHM,2022-02-02 10:00:00,2022-02-02 09:45:00,1469.35,1455.9,2022-02-02 09:45:00,2022-02-02 10:00:00,1469.35,1455.9,1455.9,1469.35,StopLoss,lower,1455.9,-13.449999999999818,-484.19999999999345,98541.55000000005
95,IDFCFIRSTB,2022-02-02 10:00:00,2022-02-02 11:15:00,48.75,48.5,2022-02-02 10:00:00,2022-02-02 11:15:00,48.5,48.75,48.5,48.75,StopLoss,upper,48.75,-0.25,-492.5,98541.55000000005
96,BIOCON,2022-02-02 10:00:00,2022-02-02 15:00:00,389.5,384.5,2022-02-02 10:00:00,2022-02-02 15:00:00,384.5,387.1,384.5,387.1,DayEnd,upper,389.5,-2.6000000000000227,-254.80000000000223,98541.55000000005
97,AUBANK,2022-02-02 10:15:00,2022-02-02 10:45:00,697.0,692.8,2022-02-02 10:15:00,2022-02-02 10:45:00,692.8,697.0,692.8,697.0,StopLoss,upper,697.0,-4.2000000000000455,-491.4000000000053,98541.55000000005
98,TATACONSUM,2022-02-03 09:45:00,2022-02-03 15:00:00,761.2,748.2,2022-02-03 09:45:00,2022-02-03 15:00:00,748.2,741.45,748.2,741.45,DayEnd,upper,761.2,6.75,249.75,97765.05000000005
99,M_MFIN,2022-02-03 10:15:00,2022-02-03 09:45:00,163.3,160.2,2022-02-03 09:45:00,2022-02-03 10:15:00,163.3,160.2,160.2,163.3,StopLoss,lower,160.2,-3.1000000000000227,-486.70000000000357,97765.05000000005
100,MUTHOOTFIN,2022-02-03 11:45:00,2022-02-03 09:45:00,1439.55,1428.05,2022-02-03 09:45:00,2022-02-03 11:45:00,1439.55,1428.05,1428.05,1439.55,StopLoss,lower,1428.05,-11.5,-483.0,97765.05000000005
101,LTIM,2022-02-03 12:15:00,2022-02-03 09:45:00,6294.0,6263.0,2022-02-03 09:45:00,2022-02-03 12:15:00,6294.0,6263.0,6263.0,6294.0,StopLoss,lower,6263.0,-31.0,-465.0,97765.05000000005
102,ESCORTS,2022-02-03 10:00:00,2022-02-03 15:00:00,1875.25,1868.85,2022-02-03 10:00:00,2022-02-03 15:00:00,1868.85,1858.5,1868.85,1858.5,DayEnd,upper,1875.25,10.349999999999909,786.5999999999931,97765.05000000005
103,YESBANK,2022-02-04 09:45:00,2022-02-04 15:00:00,13.8,13.7,2022-02-04 09:45:00,2022-02-04 15:00:00,13.7,13.7,13.7,13.7,DayEnd,upper,13.8,0.0,0.0,97366.70000000004
104,PFIZER,2022-02-04 10:00:00,2022-02-04 09:45:00,4508.9,4485.95,2022-02-04 09:45:00,2022-02-04 10:00:00,4508.9,4485.95,4485.95,4508.9,StopLoss,lower,4485.95,-22.949999999999818,-481.9499999999962,97366.70000000004
105,BATAINDIA,2022-02-04 11:45:00,2022-02-04 09:45:00,1975.0,1954.15,2022-02-04 09:45:00,2022-02-04 11:45:00,1975.0,1954.15,1954.15,1975.0,StopLoss,lower,1954.15,-20.84999999999991,-479.5499999999979,97366.70000000004
106,TATASTEEL,2022-02-04 10:00:00,2022-02-04 15:00:00,119.37,118.31,2022-02-04 10:00:00,2022-02-04 15:00:00,118.31,117.51,118.31,117.51,DayEnd,upper,119.37,0.7999999999999972,367.1999999999987,97366.70000000004
107,HINDALCO,2022-02-04 10:00:00,2022-02-04 14:15:00,527.25,523.15,2022-02-04 10:00:00,2022-02-04 14:15:00,523.15,527.25,523.15,527.25,StopLoss,upper,527.25,-4.100000000000023,-483.8000000000027,97366.70000000004
108,POWERGRID,2022-02-07 09:45:00,2022-02-07 11:30:00,213.8,212.35,2022-02-07 09:45:00,2022-02-07 11:30:00,212.35,213.8,212.35,213.8,StopLoss,upper,213.8,-1.450000000000017,-481.40000000000566,96288.60000000005
109,SRF,2022-02-07 09:45:00,2022-02-07 15:00:00,2521.85,2492.1,2022-02-07 09:45:00,2022-02-07 15:00:00,2492.1,2455.55,2492.1,2455.55,DayEnd,upper,2521.85,36.54999999999973,584.7999999999956,96288.60000000005
