,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L,net p&l,funds
105,ADANIPORTS,2022-05-26 15:00:00,2022-05-26 10:30:00,677.0,668.15,2022-05-26 10:30:00,2022-05-26 15:00:00,677.0,698.6,698.6,677.0,DayEnd,lower,668.15,21.600000000000023,1188.0000000000014,98559.6500000001
106,DIXON,2022-05-31 09:45:00,2022-05-31 15:00:00,3966.0,3891.65,2022-05-31 09:45:00,2022-05-31 15:00:00,3891.65,3864.0,3891.65,3864.0,DayEnd,upper,3966.0,27.65000000000009,165.90000000000055,98783.0000000001
107,ADANITRANS,2022-06-01 13:30:00,2022-06-01 10:00:00,1985.75,1960.2,2022-06-01 10:00:00,2022-06-01 13:30:00,1985.75,1960.2,1960.2,1985.75,StopLoss,lower,1960.2,-25.54999999999995,-485.4499999999991,98948.9000000001
108,NAUKRI,2022-06-06 10:30:00,2022-06-06 09:45:00,3755.2,3702.3,2022-06-06 09:45:00,2022-06-06 10:30:00,3755.2,3702.3,3702.3,3755.2,StopLoss,lower,3702.3,-52.899999999999636,-476.0999999999967,98463.4500000001
109,ICICIGI,2022-06-07 10:45:00,2022-06-07 09:45:00,1172.6,1165.0,2022-06-07 09:45:00,2022-06-07 10:45:00,1172.6,1165.0,1165.0,1172.6,StopLoss,lower,1165.0,-7.599999999999909,-486.3999999999942,97987.35000000011
110,NAUKRI,2022-06-07 10:15:00,2022-06-07 10:00:00,3634.0,3607.0,2022-06-07 10:00:00,2022-06-07 10:15:00,3634.0,3607.0,3607.0,3634.0,StopLoss,lower,3607.0,-27.0,-486.0,97987.35000000011
111,GUJGASLTD,2022-06-08 10:15:00,2022-06-08 09:45:00,502.0,497.25,2022-06-08 09:45:00,2022-06-08 10:15:00,502.0,497.25,497.25,502.0,StopLoss,lower,497.25,-4.75,-484.5,97014.95000000011
112,DEEPAKNTR,2022-06-08 11:30:00,2022-06-08 10:00:00,1832.95,1812.3,2022-06-08 10:00:00,2022-06-08 11:30:00,1832.95,1812.3,1812.3,1832.95,StopLoss,lower,1812.3,-20.65000000000009,-474.9500000000021,97014.95000000011
113,POLYCAB,2022-06-08 11:15:00,2022-06-08 10:00:00,2360.9,2324.05,2022-06-08 10:00:00,2022-06-08 11:15:00,2360.9,2324.05,2324.05,2360.9,StopLoss,lower,2324.05,-36.8499999999999,-479.0499999999987,97014.95000000011
114,VOLTAS,2022-06-08 15:00:00,2022-06-08 10:00:00,990.75,973.4,2022-06-08 10:00:00,2022-06-08 15:00:00,990.75,990.6,990.6,990.75,DayEnd,lower,973.4,-0.14999999999997726,-4.049999999999386,97014.95000000011
115,ONGC,2022-06-09 10:15:00,2022-06-09 15:00:00,167.05,166.65,2022-06-09 10:15:00,2022-06-09 15:00:00,166.65,165.6,166.65,165.6,DayEnd,upper,167.05,1.0500000000000114,1253.7000000000135,95572.40000000011
116,DEEPAKNTR,2022-06-09 15:00:00,2022-06-09 10:15:00,1773.45,1749.05,2022-06-09 10:15:00,2022-06-09 15:00:00,1773.45,1777.85,1777.85,1773.45,DayEnd,lower,1749.05,4.399999999999864,83.59999999999741,95572.40000000011
117,BERGEPAINT,2022-06-09 15:00:00,2022-06-09 10:15:00,569.5,565.25,2022-06-09 10:15:00,2022-06-09 15:00:00,569.5,578.5,578.5,569.5,DayEnd,lower,565.25,9.0,1008.0,95572.40000000011
118,ADANITRANS,2022-06-13 10:30:00,2022-06-13 15:00:00,2123.65,2104.55,2022-06-13 10:30:00,2022-06-13 15:00:00,2104.55,2080.05,2104.55,2080.05,DayEnd,upper,2123.65,24.5,612.5,97917.70000000013
119,LICHSGFIN,2022-06-13 13:45:00,2022-06-13 10:00:00,321.4,318.55,2022-06-13 10:00:00,2022-06-13 13:45:00,321.4,318.55,318.55,321.4,StopLoss,lower,318.55,-2.849999999999966,-487.34999999999417,97917.70000000013
120,NATIONALUM,2022-06-14 10:00:00,2022-06-14 09:45:00,85.05,84.3,2022-06-14 09:45:00,2022-06-14 10:00:00,85.05,84.3,84.3,85.05,StopLoss,lower,84.3,-0.75,-489.75,98042.85000000014
121,BPCL,2022-06-15 10:15:00,2022-06-15 10:00:00,310.05,309.45,2022-06-15 10:00:00,2022-06-15 10:15:00,310.05,309.45,309.45,310.05,StopLoss,lower,309.45,-0.6000000000000227,-487.20000000001846,97553.10000000014
122,APOLLOTYRE,2022-06-16 10:45:00,2022-06-16 10:00:00,184.8,182.4,2022-06-16 10:00:00,2022-06-16 10:45:00,184.8,182.4,182.4,184.8,StopLoss,lower,182.4,-2.4000000000000057,-484.80000000000115,97065.90000000013
123,DHANI,2022-06-17 10:45:00,2022-06-17 10:30:00,36.35,36.2,2022-06-17 10:30:00,2022-06-17 10:45:00,36.35,36.2,36.2,36.35,StopLoss,lower,36.2,-0.14999999999999858,-482.8499999999954,96581.10000000012
124,PETRONET,2022-06-17 13:45:00,2022-06-17 10:30:00,205.15,202.5,2022-06-17 10:30:00,2022-06-17 13:45:00,205.15,202.5,202.5,205.15,StopLoss,lower,202.5,-2.6500000000000057,-482.30000000000103,96581.10000000012
125,GLAND,2022-06-17 12:30:00,2022-06-17 09:45:00,2622.5,2606.1,2022-06-17 09:45:00,2022-06-17 12:30:00,2622.5,2606.1,2606.1,2622.5,StopLoss,lower,2606.1,-16.40000000000009,-475.60000000000264,96581.10000000012
