,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L
80,COFORGE,2022-01-28 09:45:00,2022-01-28 10:15:00,4761.15,4640.15,2022-01-28 09:45:00,2022-01-28 10:15:00,4640.15,4761.15,4640.15,4761.15,StopLoss,upper,4761.15,-121.0
81,M_M,2022-01-28 10:00:00,2022-01-28 15:00:00,895.65,888.5,2022-01-28 10:00:00,2022-01-28 15:00:00,888.5,869.25,888.5,869.25,DayEnd,upper,895.65,19.25
82,DALBHARAT,2022-01-28 10:15:00,2022-01-28 10:30:00,1820.0,1806.0,2022-01-28 10:15:00,2022-01-28 10:30:00,1806.0,1820.0,1806.0,1820.0,StopLoss,upper,1820.0,-14.0
83,ONGC,2022-01-28 10:15:00,2022-01-28 10:30:00,174.3,173.15,2022-01-28 10:15:00,2022-01-28 10:30:00,173.15,174.3,173.15,174.3,StopLoss,upper,174.3,-1.1500000000000057
84,TATAELXSI,2022-01-28 10:15:00,2022-01-28 15:00:00,7375.0,7311.05,2022-01-28 10:15:00,2022-01-28 15:00:00,7311.05,7148.7,7311.05,7148.7,DayEnd,upper,7375.0,162.35000000000036
85,INDHOTEL,2022-01-31 09:45:00,2022-01-31 11:00:00,215.9,213.3,2022-01-31 09:45:00,2022-01-31 11:00:00,213.3,215.9,213.3,215.9,StopLoss,upper,215.9,-2.5999999999999943
86,APOLLOHOSP,2022-01-31 15:00:00,2022-01-31 09:45:00,4447.85,4375.55,2022-01-31 09:45:00,2022-01-31 15:00:00,4447.85,4462.2,4462.2,4447.85,DayEnd,lower,4375.55,14.349999999999454
87,VEDL,2022-01-31 10:15:00,2022-01-31 09:45:00,324.6,321.4,2022-01-31 09:45:00,2022-01-31 10:15:00,324.6,321.4,321.4,324.6,StopLoss,lower,321.4,-3.2000000000000455
88,MFSL,2022-01-31 10:00:00,2022-01-31 09:45:00,908.6,901.3,2022-01-31 09:45:00,2022-01-31 10:00:00,908.6,901.3,901.3,908.6,StopLoss,lower,901.3,-7.300000000000068
89,MARICO,2022-01-31 10:00:00,2022-01-31 15:00:00,490.0,488.35,2022-01-31 10:00:00,2022-01-31 15:00:00,488.35,485.3,488.35,485.3,DayEnd,upper,490.0,3.0500000000000114
90,AXISBANK,2022-02-01 10:00:00,2022-02-01 10:15:00,790.8,785.85,2022-02-01 10:00:00,2022-02-01 10:15:00,785.85,790.8,785.85,790.8,StopLoss,upper,790.8,-4.949999999999932
91,ICICIBANK,2022-02-01 10:00:00,2022-02-01 11:00:00,811.8,810.15,2022-02-01 10:00:00,2022-02-01 11:00:00,810.15,811.8,810.15,811.8,StopLoss,upper,811.8,-1.6499999999999773
92,PEL,2022-02-01 10:00:00,2022-02-01 15:00:00,2537.95,2498.0,2022-02-01 10:00:00,2022-02-01 15:00:00,2498.0,2514.0,2498.0,2514.0,DayEnd,upper,2537.95,-16.0
93,BPCL,2022-02-01 12:30:00,2022-02-01 10:00:00,388.25,387.0,2022-02-01 10:00:00,2022-02-01 12:30:00,388.25,387.0,387.0,388.25,StopLoss,lower,387.0,-1.25
94,INDUSINDBK,2022-02-01 10:15:00,2022-02-01 10:30:00,901.45,897.2,2022-02-01 10:15:00,2022-02-01 10:30:00,897.2,901.45,897.2,901.45,StopLoss,upper,901.45,-4.25
95,EICHERMOT,2022-02-02 09:45:00,2022-02-02 15:00:00,2719.0,2702.0,2022-02-02 09:45:00,2022-02-02 15:00:00,2702.0,2668.2,2702.0,2668.2,DayEnd,upper,2719.0,33.80000000000018
96,TECHM,2022-02-02 10:00:00,2022-02-02 09:45:00,1469.35,1455.9,2022-02-02 09:45:00,2022-02-02 10:00:00,1469.35,1455.9,1455.9,1469.35,StopLoss,lower,1455.9,-13.449999999999818
97,ISEC,2022-02-02 10:00:00,2022-02-02 15:00:00,749.0,746.15,2022-02-02 10:00:00,2022-02-02 15:00:00,746.15,746.25,746.15,746.25,DayEnd,upper,749.0,-0.10000000000002274
98,IDFCFIRSTB,2022-02-02 10:00:00,2022-02-02 11:15:00,48.75,48.5,2022-02-02 10:00:00,2022-02-02 11:15:00,48.5,48.75,48.5,48.75,StopLoss,upper,48.75,-0.25
99,BIOCON,2022-02-02 10:00:00,2022-02-02 15:00:00,389.5,384.5,2022-02-02 10:00:00,2022-02-02 15:00:00,384.5,387.1,384.5,387.1,DayEnd,upper,389.5,-2.6000000000000227
100,TATACONSUM,2022-02-03 09:45:00,2022-02-03 15:00:00,761.2,748.2,2022-02-03 09:45:00,2022-02-03 15:00:00,748.2,741.45,748.2,741.45,DayEnd,upper,761.2,6.75
101,M_MFIN,2022-02-03 10:15:00,2022-02-03 09:45:00,163.3,160.2,2022-02-03 09:45:00,2022-02-03 10:15:00,163.3,160.2,160.2,163.3,StopLoss,lower,160.2,-3.1000000000000227
102,MUTHOOTFIN,2022-02-03 11:45:00,2022-02-03 09:45:00,1439.55,1428.05,2022-02-03 09:45:00,2022-02-03 11:45:00,1439.55,1428.05,1428.05,1439.55,StopLoss,lower,1428.05,-11.5
103,LTIM,2022-02-03 12:15:00,2022-02-03 09:45:00,6294.0,6263.0,2022-02-03 09:45:00,2022-02-03 12:15:00,6294.0,6263.0,6263.0,6294.0,StopLoss,lower,6263.0,-31.0
104,ESCORTS,2022-02-03 10:00:00,2022-02-03 15:00:00,1875.25,1868.85,2022-02-03 10:00:00,2022-02-03 15:00:00,1868.85,1858.5,1868.85,1858.5,DayEnd,upper,1875.25,10.349999999999909
105,YESBANK,2022-02-04 09:45:00,2022-02-04 15:00:00,13.8,13.7,2022-02-04 09:45:00,2022-02-04 15:00:00,13.7,13.7,13.7,13.7,DayEnd,upper,13.8,0.0
106,GODREJPROP,2022-02-04 10:15:00,2022-02-04 09:45:00,1574.8,1548.15,2022-02-04 09:45:00,2022-02-04 10:15:00,1574.8,1548.15,1548.15,1574.8,StopLoss,lower,1548.15,-26.649999999999864
